etID  | Input | Balkan Romance | Common Romanian | Output {GOLD}
36     | #ˌaɡˈustum# | *#aɡˈustu# | *#aɡˈustu# | *#aɡˈust# {GOLD: #ˈaɡust#}
37     | #ˌajektˈaː# | *#ad͡ʒeptˈa# | *#ad͡ʒeptˈa# | *#ad͡ʒeptˈa# {GOLD: #ajeptˈa#}
38     | #ˌajˈuːnum# | *#ad͡ʒˈunu# | *#ad͡ʒˈunu# | *#aʒˈun# {GOLD: #aʒˈun#}
39     | #ˌajuːnˈaː# | *#ad͡ʒunˈa# | *#ad͡ʒunˈa# | *#aʒunˈa# {GOLD: #aʒunˈa#}
40     | #ˈakiam# | *#ˈat͡sa# | *#ˈat͡sə# | *#ˈat͡sə# {GOLD: #ˈat͡sə#}
41     | #ˌakkˌakptiˈaː# | *#akakpt͡sˈa# | *#akəkpt͡sˈa# | *#akəkpt͡sˈa# {GOLD: #akət͡sˈa#}
42     | #ˈakrum# | *#ˈakru# | *#ˈakɾu# | *#ˈakru# {GOLD: #ˈakru#}
43     | #ˌɑksˈunɡiɑ# | *#asˈund͡za# | *#asˈund͡zə# | *#asˈunzə# {GOLD: #osˈɨnzə#}
44     | #ˈakum# | *#ˈaku# | *#ˈaku# | *#ˈak# {GOLD: #ˈak#}
45     | #ˈakwam# | *#ˈapa# | *#ˈapə# | *#ˈapə# {GOLD: #ˈapə#}
46     | #ˌakwˈaːrium# | *#apˈajru# | *#apˈajɾu# | *#apˈar# {GOLD: #apˈar#}
47     | #ˌakwaːtˈoːsum# | *#apatˈosu# | *#apətˈosu# | *#apətˈos# {GOLD: #apətˈos#}
48     | #ˈakwilam# | *#ˈat͡ʃela# | *#ˈat͡ʃeɾə# | *#ˈat͡ʃerə# {GOLD: #ˈat͡ʃerə#}
49     | #ˌakwˈoːsum# | *#apˈosu# | *#apˈosu# | *#apˈos# {GOLD: #apˈos#}
50     | #ˌalbˈastrum# | *#albˈastru# | *#albˈastɾu# | *#albˈastru# {GOLD: #albˈastru#}
51     | #ˌalbˈiː# | *#albˈi# | *#albˈi# | *#albˈi# {GOLD: #albˈi#}
52     | #ˌalbˈitiam# | *#albˈet͡sa# | *#albe̯ˈat͡sə# | *#albˈat͡sə# {GOLD: #albe̯ˈat͡sə#}
53     | #ˌalbˈoːrem# | *#albˈore# | *#albo̯ˈaɾe# | *#albo̯ˈare# {GOLD: #albo̯ˈare#}
54     | #ˈalbum# | *#ˈalbu# | *#ˈalbu# | *#ˈalb# {GOLD: #ˈalb#}
55     | #ˈalium# | *#ˈajlu# | *#ˈajɾu# | *#ˈaj# {GOLD: #ˈaj#}
56     | #ˌallˌewˈaːtum# | *#alleˈatu# | *#ale̯ˈatu# | *#ale̯ˈat# {GOLD: #aluˈat#}
57     | #ˌaltˈaːrium# | *#altˈajru# | *#altˈajɾu# | *#altˈar# {GOLD: #altˈar#}
58     | #ˈalterum# | *#ˈalteru# | *#ˈalteɾu# | *#ˈalter# {GOLD: #ˈalt#}
59     | #ˌaltˈitiam# | *#alt͡sˈet͡sa# | *#alt͡se̯ˈat͡sə# | *#alt͡se̯ˈat͡sə# {GOLD: #altˈit͡sə#}
60     | #ˌalweˈaːrium# | *#albjˈajru# | *#albjˈajɾu# | *#albjˈaje# {GOLD: #albjˈer#}
61     | #ˌalwˈeolam# | *#albjˈola# | *#albjo̯ˈaɾə# | *#albio̯ˈarə# {GOLD: #albio̯ˈarə#}
62     | #ˌalwˈiːnam# | *#albˈina# | *#albˈinə# | *#albˈinə# {GOLD: #albˈinə#}
63     | #ˌamˈaːrum# | *#amˈaru# | *#əmˈaɾu# | *#amˈar# {GOLD: #amˈar#}
64     | #ˌamaːrˈitiam# | *#amarˈet͡sa# | *#əməɾe̯ˈat͡sə# | *#aməre̯ˈat͡sə# {GOLD: #aməre̯ˈat͡sə#}
65     | #ˌamendˈui# | *#amendˈi# | *#əmendˈi# | *#amɨndˈi# {GOLD: #amɨndˈoj#}
66     | #ˌammˌatteˈaː# | *#amat͡sˈa# | *#əmət͡sˈa# | *#amət͡sˈa# {GOLD: #amet͡sˈi#}
67     | #ˌammˌortˈiː# | *#amortˈi# | *#əmuɾtˈi# | *#amurtˈi# {GOLD: #amort͡sˈi#}
68     | #ˌammˌutˈiː# | *#amutˈi# | *#əmut͡sˈi# | *#amut͡sˈi# {GOLD: #amut͡sˈi#}
69     | #ˈannoːtˈertioː# | *#ˈannotˈɛrt͡so# | *#ˈannut͡sˈeɾt͡su# | *#ˈanut͡sˈert͡s# {GOLD: #antˈərt͡s#}
70     | #ˌappˌarˈaː# | *#aparˈa# | *#apəɾˈa# | *#apərˈa# {GOLD: #apərˈa#}
71     | #ˌappˌensˈaː# | *#apesˈa# | *#apesˈa# | *#apəsˈa# {GOLD: #apəsˈa#}
72     | #ˌaprˈiːkum# | *#aprˈiku# | *#apɾˈiku# | *#aprˈiɡ# {GOLD: #ˈapriɡ#}
73     | #ˌarˈaːmen# | *#arˈame# | *#aɾˈəme# | *#arˈəme# {GOLD: #arˈamə#}
74     | #ˌarˈaː# | *#arˈa# | *#aɾˈa# | *#arˈa# {GOLD: #arˈa#}
75     | #ˌaraːtˈoːrem# | *#aratˈore# | *#aɾəto̯ˈaɾe# | *#arəto̯ˈare# {GOLD: #arətˈor#}
76     | #ˌaraːtˈoːrium# | *#aratˈojru# | *#aɾətˈojɾu# | *#arətˈor# {GOLD: #arətˈor#}
77     | #ˌarˈaːtrum# | *#arˈatru# | *#aɾˈatɾu# | *#arˈatru# {GOLD: #arˈat#}
78     | #ˌarˈaːtum# | *#arˈatu# | *#aɾˈatu# | *#arˈat# {GOLD: #arˈat#}
79     | #ˌaratˈuːram# | *#aratˈura# | *#aɾətˈuɾə# | *#arətˈurə# {GOLD: #arətˈurə#}
80     | #ˈarborem# | *#ˈarbore# | *#ˈaɾbuɾe# | *#ˈarbure# {GOLD: #ˈarbure#}
81     | #ˌarborˈeːtum# | *#arborˈetu# | *#aɾbuɾˈetu# | *#arburˈet# {GOLD: #arburˈet#}
82     | #ˈarde# | *#ˈarde# | *#ˈaɾde# | *#ˈarde# {GOLD: #ˈarde#}
83     | #ˌarɡˈentum# | *#ard͡ʒˈɛntu# | *#aɾd͡ʒˈentu# | *#ard͡ʒˈint# {GOLD: #ard͡ʒˈint#}
84     | #ˌarɡentˈaːrium# | *#ard͡ʒentˈajru# | *#aɾd͡ʒentˈajɾu# | *#ard͡ʒintˈar# {GOLD: #ard͡ʒintˈar#}
85     | #ˌarɡentˈoːsum# | *#ard͡ʒentˈosu# | *#aɾd͡ʒentˈosu# | *#ard͡ʒintˈos# {GOLD: #ard͡ʒintˈos#}
86     | #ˌarkˈaːrium# | *#arkˈajru# | *#aɾkˈajɾu# | *#arkˈar# {GOLD: #arkˈar#}
87     | #ˈarkum# | *#ˈarku# | *#ˈaɾku# | *#ˈark# {GOLD: #ˈark#}
88     | #ˌaːrsˈuːram# | *#arsˈura# | *#aɾsˈuɾə# | *#arsˈurə# {GOLD: #arsˈurə#}
89     | #ˈaskla# | *#ˈaskla# | *#ˈaskʎe# | *#ˈaʃke# {GOLD: #ˈaʃkie#}
90     | #bˌaptidiˈoːnem# | *#bapted͡ʒˈone# | *#bəpted͡ʒˈune# | *#bəpteʒˈune# {GOLD: #boteʒˈune#}
91     | #bˌaptid͡zˈaː# | *#bapted͡zˈa# | *#bəpted͡zˈa# | *#bəptezˈa# {GOLD: #botezˈa#}
92     | #bˌasˈilikam# | *#basˈeleka# | *#bəse̯ˈaɾekə# | *#bəsˈerekə# {GOLD: #bisˈerikə#}
93     | #bˌattuˈaːlia# | *#batˈajla# | *#bətˈaje# | *#bətˈaje# {GOLD: #bətˈaje#}
94     | #brˈaːkae̯# | *#brˈat͡ʃɛ# | *#bɾˈat͡ʃe# | *#brˈat͡ʃe# {GOLD: #brˈat͡ʃe#}
95     | #brˈoːtʰakum# | *#brˈotaku# | *#bɾo̯ˈatəku# | *#bro̯ˈatək# {GOLD: #bro̯ˈatek#}
96     | #dˌamnˈaː# | *#damnˈa# | *#dəmnˈa# | *#dəmnˈa# {GOLD: #dəunˈa#}
97     | #dˈamna# | *#dˈamna# | *#dˈamnə# | *#dˈawnə# {GOLD: #dˈawnə#}
98     | #dˌeːbitˈoːrem# | *#deetˈore# | *#deto̯ˈaɾe# | *#dəto̯ˈare# {GOLD: #datˈor#}
99     | #dˌeːraːmˈaː# | *#deramˈa# | *#deɾəmˈa# | *#derəmˈa# {GOLD: #dərɨmˈa#}
100    | #dˌeːsˌiːderˈaː# | *#desiderˈa# | *#deʃideɾˈa# | *#deʃiderˈa# {GOLD: #deʃiderˈa#}
101    | #diˈaːna# | *#d͡zˈana# | *#d͡zˈənə# | *#zˈɨnə# {GOLD: #zˈɨnə#}
102    | #dˌiskˌarrikˈaː# | *#deskarrkˈa# | *#deskərrkˈa# | *#deskərkˈa# {GOLD: #deskərkˈa#}
103    | #dˌolˈoːrem# | *#dolˈore# | *#dulo̯ˈaɾe# | *#dulo̯ˈare# {GOLD: #duro̯ˈare#}
104    | #dˌuplikˈaː# | *#duplekˈa# | *#duplekˈa# | *#duplekˈa# {GOLD: #duplekˈa#}
105    | #kˌɑbɑllˈɑːrem# | *#kaallˈare# | *#kəlˈaɾe# | *#kəlˈare# {GOLD: #kəlˈare#}
106    | #kˈae̯lum# | *#t͡ʃˈɛlu# | *#t͡ʃˈeɾu# | *#t͡ʃˈer# {GOLD: #t͡ʃˈer#}
107    | #kˌɑntikˈellum# | *#kantet͡ʃˈɛllu# | *#kəntet͡ʃˈelu# | *#kɨntet͡ʃˈel# {GOLD: #kɨntet͡ʃˈel#}
108    | #kˌɑpˈistrum# | *#kapˈestru# | *#kəpˈestɾu# | *#kəpˈəstru# {GOLD: #kəpˈəstru#}
109    | #kˌɑpitˈiːnɑ# | *#kapetˈina# | *#kəpet͡sˈinə# | *#kəpet͡sˈinə# {GOLD: #kəpət͡sˈɨnə#}
110    | #kˈɑwsɑm# | *#kˈawsa# | *#kˈawsə# | *#kˈawsə# {GOLD: #kˈawzə#}
111    | #kˈɑwulɑm# | *#kˈawla# | *#kˈawɾə# | *#kˈawrə# {GOLD: #ɡˈawrə#}
112    | #kˈeːpɑm# | *#t͡ʃˈepa# | *#t͡ʃe̯ˈapə# | *#t͡ʃe̯ˈapə# {GOLD: #t͡ʃe̯ˈapə#}
113    | #kˌeːrɑsiˈɑːrium# | *#t͡ʃeraʃˈajru# | *#t͡ʃeɾəʃˈajɾu# | *#t͡ʃerəʃˈar# {GOLD: #t͡ʃireʃˈar#}
114    | #kˌeːrˈesiɑ# | *#t͡ʃerˈɛʃa# | *#t͡ʃeɾje̯ˈaʃə# | *#t͡ʃerjˈaʃə# {GOLD: #t͡ʃire̯ˈaʃə#}
115    | #kˌertˈɑː# | *#t͡ʃertˈa# | *#t͡ʃeɾtˈa# | *#t͡ʃertˈa# {GOLD: #t͡ʃertˈa#}
116    | #kˌikʰˈoreːɑ# | *#t͡ʃekˈorea# | *#t͡ʃeko̯ˈaɾeə# | *#t͡ʃeko̯ˈareə# {GOLD: #t͡ʃiko̯ˈare#}
117    | #kˌikˈuːtɑ# | *#t͡ʃekˈuta# | *#t͡ʃekˈutə# | *#t͡ʃekˈutə# {GOLD: #kukˈutə#}
118    | #kˌoɡnˈɑːtum# | *#komnˈatu# | *#komnˈatu# | *#komnˈat# {GOLD: #kumnˈat#}
119    | #kˌoktˈorium# | *#koptˈojru# | *#koptˈojɾu# | *#koptˈor# {GOLD: #kuptˈor#}
120    | #kˌommunikˈɑː# | *#komunekˈa# | *#kumunekˈa# | *#kumunekˈa# {GOLD: #kuminekˈa#}
121    | #kˌornˈuːtum# | *#kornˈutu# | *#koɾnˈutu# | *#kornˈut# {GOLD: #kornˈut#}
122    | #kˈorwum# | *#kˈorbu# | *#kˈoɾbu# | *#kˈorb# {GOLD: #kˈorb#}
123    | #kˌottid͡zˈɑː# | *#koted͡zˈa# | *#kuted͡zˈa# | *#kutezˈa# {GOLD: #kutezˈa#}
124    | #krˈistɑm# | *#krˈesta# | *#kɾe̯ˈastə# | *#kre̯ˈastə# {GOLD: #kre̯ˈastə#}
125    | #kˌukˈuːtɑm# | *#kukˈuta# | *#kukˈutə# | *#kukˈutə# {GOLD: #kukˈutə#}
126    | #kˌurtiˈɑːnioː# | *#kurt͡sˈajno# | *#kuɾt͡sˈajnu# | *#kurt͡sˈajn# {GOLD: #krut͡sˈa#}
127    | #kwˈɑdrum# | *#kˈadru# | *#kˈadɾu# | *#kˈadru# {GOLD: #kˈodru#}
128    | #kwˈae̯re# | *#t͡ʃˈɛre# | *#t͡ʃe̯ˈaɾe# | *#t͡ʃˈere# {GOLD: #t͡ʃˈere#}
129    | #ekkuhˈik# | *#at͡ʃˈi# | *#at͡ʃˈi# | *#at͡ʃˈi# {GOLD: #at͡ʃˈi#}
130    | #ekkuhˈok# | *#akˈo# | *#akˈo# | *#akˈo# {GOLD: #akˈo#}
131    | #ekkeˈillum# | *#at͡ʃˈellu# | *#at͡ʃˈelu# | *#at͡ʃˈel# {GOLD: #at͡ʃˈel#}
132    | #ekkuˈistum# | *#at͡ʃˈestu# | *#at͡ʃˈestu# | *#at͡ʃˈest# {GOLD: #at͡ʃˈest#}
133    | #eksˈalbidum# | *#sˈalbedu# | *#sˈalbedu# | *#sˈalbəd# {GOLD: #sˈarbəd#}
134    | #ekskˌadˈeː# | *#skadˈe# | *#skədˈe# | *#skəde̯ˈa# {GOLD: #skəde̯ˈa#}
135    | #ekskˌaldˈaː# | *#skaldˈa# | *#skəldˈa# | *#skəldˈa# {GOLD: #skəldˈa#}
136    | #ekskˌambiˈaː# | *#skambjˈa# | *#skəmbjˈa# | *#skəmbjˈa# {GOLD: #skimbˈa#}
137    | #ekskˌappˈaː# | *#skapˈa# | *#skəpˈa# | *#skəpˈa# {GOLD: #skəpˈa#}
138    | #ekskˌarminˈaː# | *#skarmenˈa# | *#skəɾmenˈa# | *#skɨrmɨnˈa# {GOLD: #skərmənˈa#}
139    | #eksmˈulɡe# | *#smˈuld͡ʒe# | *#smˈuld͡ʒe# | *#smˈuld͡ʒe# {GOLD: #smuld͡ʒˈe#}
140    | #eksmˈultum# | *#smˈultu# | *#smˈultu# | *#smˈult# {GOLD: #smˈult#}
141    | #ekspellawˈaː# | *#spellaˈa# | *#spelˈa# | *#spəlˈa# {GOLD: #spəlˈa#}
142    | #eːrˈikium# | *#arˈet͡su# | *#aɾˈet͡su# | *#arˈet͡s# {GOLD: #arˈit͡ʃj#}
143    | #fˌabrikˈaː# | *#fawrekˈa# | *#fəwɾekˈa# | *#fəwrekˈa# {GOLD: #ferekˈa#}
144    | #fˈalkem# | *#fˈalt͡ʃe# | *#fˈalt͡ʃe# | *#fˈalt͡ʃe# {GOLD: #fˈalt͡ʃe#}
145    | #fˈalkeːs# | *#fˈalt͡ʃe# | *#fˈalt͡ʃe# | *#fˈalt͡ʃe# {GOLD: #fˈalt͡ʃj#}
146    | #fˈarmakum# | *#fˈarmaku# | *#fˈaɾməku# | *#fˈarmək# {GOLD: #fˈarkək#}
147    | #fˌebruˈaːrium# | *#fewrˈajru# | *#fewɾˈajɾu# | *#fəwrˈar# {GOLD: #fəwrˈar#}
148    | #flˈakula# | *#flˈakula# | *#flˈakuɾə# | *#flˈakurə# {GOLD: #flˈakərə#}
149    | #fˌortˈuːnam# | *#fortˈuna# | *#fuɾtˈunə# | *#furtˈunə# {GOLD: #furtˈunə#}
150    | #fˌossˈɑːtum# | *#fosˈatu# | *#fusˈatu# | *#fusˈat# {GOLD: #sˈat#}
151    | #frˈeːnum# | *#frˈenu# | *#fɾˈenu# | *#frˈin# {GOLD: #frˈɨnə#}
152    | #frˈiːɡe# | *#frˈid͡ʒe# | *#fɾˈid͡ʒe# | *#frˈid͡ʒe# {GOLD: #frˈid͡ʒe#}
153    | #ɡˌɑlliːnˈɑːkeum# | *#ɡallinˈat͡su# | *#ɡəʎinˈat͡su# | *#ɡəinˈat͡s# {GOLD: #ɡəinˈat͡s#}
154    | #ɡlˈɑndɑm# | *#ɡlˈanda# | *#ɡʎˈəndə# | *#ɡˈində# {GOLD: #ɡˈində#}
155    | #ɡlˈɑndulɑm# | *#ɡlˈandula# | *#ɡʎˈənduɾə# | *#ɡˈindurə# {GOLD: #ɡˈindurə#}
156    | #ɡˈulɑm# | *#ɡˈula# | *#ɡˈuɾə# | *#ɡˈurə# {GOLD: #ɡˈurə#}
157    | #ɡˈyːrum# | *#d͡ʒˈuru# | *#d͡ʒˈuɾu# | *#ʒˈur# {GOLD: #ʒˈur#}
158    | #ˌinpˌerɡˈyːrum# | *#enperd͡ʒˈuru# | *#enpeɾd͡ʒˈuɾu# | *#ɨmpɨrʒˈur# {GOLD: #ɨmpreʒˈur#}
159    | #hˈae̯dum# | *#ˈɛdu# | *#jˈedu# | *#jˈed# {GOLD: #jˈed#}
160    | #hˈominem# | *#ˈomne# | *#o̯ˈamne# | *#o̯ˈamne# {GOLD: #ˈom#}
161    | #hˌorrˈiː# | *#orrˈi# | *#urrˈi# | *#urˈɨ# {GOLD: #urˈə#}
162    | #ˌimpˌerɑːtˈissɑm# | *#emperat͡sˈesa# | *#empeɾət͡se̯ˈasə# | *#ɨmpərət͡se̯ˈasə# {GOLD: #ɨmpərəte̯ˈasa#}
163    | #ˌimperˈɑːtum# | *#emperˈatu# | *#empeɾˈatu# | *#ɨmpərˈat# {GOLD: #ɨmpərˈat#}
164    | #ˌinˈɑltum# | *#enˈaltu# | *#enˈaltu# | *#ɨnˈalt# {GOLD: #ɨnˈalt#}
165    | #ˌinˌɑltiˈɑː# | *#enalt͡sˈa# | *#enəlt͡sˈa# | *#ɨnəlt͡sˈa# {GOLD: #ɨnəlt͡sˈa#}
166    | #ˌinkˌɑrrikˈɑː# | *#enkarrkˈa# | *#enkərrkˈa# | *#ɨnkərkˈa# {GOLD: #ɨnkərkˈa#}
167    | #ˌinkˌonɡˌyːrˈɑː# | *#enkond͡ʒurˈa# | *#enkund͡ʒuɾˈa# | *#ɨnkunʒurˈa# {GOLD: #ɨnkunʒurˈa#}
168    | #ˌindireːktˈɑː# | *#endreptˈa# | *#endɾeptˈa# | *#ɨndreptˈa# {GOLD: #ɨndreptˈa#}
169    | #ˌinfˌɑskiˈɑː# | *#enfat͡ʃˈa# | *#enfət͡ʃˈa# | *#ɨnfət͡sˈa# {GOLD: #ɨnfəʃˈa#}
170    | #ˌinɡˌɑnnˈɑː# | *#enɡannˈa# | *#enɡənnˈa# | *#ɨnɡɨnˈa# {GOLD: #ɨnɡənˈa#}
171    | #ˌinwˌitiˈɑː# | *#envet͡sˈa# | *#envet͡sˈa# | *#ɨnvət͡sˈa# {GOLD: #ɨnvət͡sˈa#}
172    | #iˌuːdikˈɑːtɑm# | *#d͡ʒudekˈata# | *#d͡ʒudekˈatə# | *#ʒudekˈatə# {GOLD: #ʒudekˈatə#}
173    | #iɡnˈaːrium# | *#emnˈajru# | *#emnˈajɾu# | *#ɨmnˈar# {GOLD: #amnˈar#}
174    | #manuˈaːrium# | *#manˈajru# | *#mənˈajɾu# | *#mɨnˈar# {GOLD: #mɨnˈer#}
175    | #mastikˈaː# | *#mastekˈa# | *#məstekˈa# | *#məstekˈa# {GOLD: #mestekˈa#}
176    | #mikstikˈaː# | *#mestekˈa# | *#mestekˈa# | *#mestekˈa# {GOLD: #mestekˈa#}
177    | #okkupˈaː# | *#okupˈa# | *#ukupˈa# | *#ukupˈa# {GOLD: #apukˈa#}
178    | #pʰˌɑlˈɑnɡɑ# | *#palˈanɡa# | *#pəɾˈənɡə# | *#pərˈɨnɡə# {GOLD: #pərˈɨnɡə#}
179    | #pˌɑːwˈoːnem# | *#paˈone# | *#paˈune# | *#pəˈun# {GOLD: #pəˈun#}
180    | #pˈekten# | *#pˈɛpte# | *#pje̯ˈapte# | *#pjˈepte# {GOLD: #pjˈeptən#}
181    | #pˌekˈulium# | *#pekˈujlu# | *#pekˈujɾu# | *#pəkˈuj# {GOLD: #pəkˈuj#}
182    | #pˈerɡulɑm# | *#pˈɛrɡla# | *#pje̯ˈaɾɡʎe# | *#pjˈerɡje# {GOLD: #pˈɨrɡje#}
183    | #pˌistˈaːlia# | *#pestˈajla# | *#pestˈaje# | *#pəstˈaje# {GOLD: #pəstˈaje#}
184    | #pˈittulɑm# | *#pˈetula# | *#pe̯ˈatuɾə# | *#pˈaturə# {GOLD: #pˈəturə#}
185    | #plˈɑːɡɑ# | *#plˈaɡa# | *#plˈaɡə# | *#plˈaɡə# {GOLD: #plˈaɡə#}
186    | #plˈoːppus# | *#plˈopu# | *#plˈopu# | *#plˈop# {GOLD: #plˈop#}
187    | #prˈae̯dɑ# | *#prˈada# | *#pɾˈadə# | *#prˈadə# {GOLD: #prˈadə#}
188    | #prˌae̯dˈɑː# | *#pradˈa# | *#pɾədˈa# | *#prədˈa# {GOLD: #prədˈa#}
189    | #prˈae̯byter# | *#prˈɛute# | *#pɾje̯ˈaute# | *#prjˈawte# {GOLD: #prˈeot#}
190    | #prˌiːmɑwˈeːrɑm# | *#primavˈera# | *#pɾiməve̯ˈaɾə# | *#priməvˈarə# {GOLD: #prˈimavara#}
191    | #pˈunɡɑm# | *#pˈunɡa# | *#pˈunɡə# | *#pˈunɡə# {GOLD: #pˈunɡə#}
192    | #sˌɑɡˈittɑm# | *#sad͡ʒˈeta# | *#səd͡ʒe̯ˈatə# | *#səd͡ʒe̯ˈatə# {GOLD: #səd͡ʒe̯ˈatə#}
193    | #sˌɑɡittˈɑː# | *#sad͡ʒetˈa# | *#səd͡ʒetˈa# | *#səd͡ʒətˈa# {GOLD: #səd͡ʒetˈa#}
194    | #sˈaːnktum# | *#sˈantu# | *#sˈəntu# | *#sˈɨnt# {GOLD: #sˈɨnt#}
195    | #sˈappa# | *#sˈapa# | *#sˈapə# | *#sˈapə# {GOLD: #sˈapə#}
196    | #sˌappˈa# | *#sapˈa# | *#səpˈa# | *#səpˈa# {GOLD: #səpˈa#}
197    | #sˈɑrikɑm# | *#sˈareka# | *#sˈaɾekə# | *#sarˈikə# {GOLD: #sarˈikə#}
198    | #sˌekrˈeːtus# | *#sekrˈetu# | *#sekɾˈetu# | *#səkrˈet# {GOLD: #səkrˈet#}
199    | #sˈerrɑ# | *#sˈɛrra# | *#ʃe̯ˈarrə# | *#ʃˈarə# {GOLD: #ʃˈarə#}
200    | #skˈɑmnum# | *#skˈamnu# | *#skˈamnu# | *#skˈawn# {GOLD: #skˈawn#}
201    | #skˌintˈiliɑ# | *#st͡ʃentˈejla# | *#ʃtente̯ˈaʎe# | *#ʃtintˈeje# {GOLD: #skɨntˈeje#}
202    | #spˈissus# | *#spˈesu# | *#spˈesu# | *#spˈəs# {GOLD: #spˈes#}
203    | #strˈambum# | *#strˈambu# | *#stɾˈəmbu# | *#strˈɨmb# {GOLD: #strˈɨmb#}
